Region;Location;Continent
East US;Virginia;Americas
East US 2;Virginia;Americas
Central US;Iowa;Americas
North Central US;Illinois;Americas
South Central US;Texas;Americas
West Central US;Wyoming;Americas
West US;California;Americas
West US 2;Washington;Americas
Canada East;Quebec City;Americas
Canada Central;Toronto;Americas
Brazil South;Sao Paulo State;Americas
North Europe;Ireland;Europe
West Europe;Netherlands;Europe
France Central;Paris;Europe
France South;Marseille;Europe
UK West;Cardiff;Europe
UK South;London;Europe
Germany Central;Frankfurt;Europe
Germany Northeast;Magdeburg;Europe
Germany North;Germany North;Europe
Germany West Central;Germany West Central;Europe
Switzerland North;Zurich;Europe
Switzerland West;Geneva;Europe
Norway East;Norway;Europe
Norway West;Norway;Europe
Southeast Asia;Singapore;Asia Pacific
East Asia;Hong Kong;Asia Pacific
Australia East;New South Wales;Asia Pacific
Australia Southeast;Victoria;Asia Pacific
Australia Central;Canberra;Asia Pacific
Australia Central 2;Canberra;Asia Pacific
China East;Shanghai;Asia Pacific
China North;Beijing;Asia Pacific
China East 2;Shanghai;Asia Pacific
China North 2;Beijing;Asia Pacific
Central India;Pune;Asia Pacific
West India;Mumbai;Asia Pacific
South India;Chennai;Asia Pacific
Japan East;Tokyo, Saitama;Asia Pacific
Japan West;Osaka;Asia Pacific
Korea Central;Seoul;Asia Pacific
Korea South;Busan;Asia Pacific
US Gov. Virginia;Virginia;North America
US Gov. Iowa;Iowa;North America
US Gov. Arizona;Arizona;North America
US Gov. Texas;Texas;North America
US DoD East;Virginia;North America
US DoD Central;Iowa;North America
US Sec East;Undisclosed;North America
US Sec West;Undisclosed;North America
South Africa West;Cape Town;Middle East and Africa
South Africa North;Johannesburg;Middle East and Africa
UAE Central;Abu Dhabi;Middle East and Africa
UAE North;Dubai;Middle East and Africa
